selling_price,year,km_driven,transmission_type,mileage,engine,max_power,seats,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_CNG,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol
3.5,2018.0,27263,1,22.5,999.0,68.0,5.0,0,1,0,0,0,0,0,1
2.65,2014.0,90000,1,25.0,1396.0,69.01,5.0,0,1,0,0,1,0,0,0
5.2,2014.0,110000,1,22.32,1582.0,126.3,5.0,0,1,0,0,1,0,0,0
7.5,2016.0,70000,1,22.54,1396.0,88.73,5.0,0,1,0,0,1,0,0,0
5.6,2017.0,70000,1,26.59,1248.0,74.0,5.0,0,1,0,0,1,0,0,0
2.0,2014.0,190000,1,19.1,1405.0,70.0,5.0,0,1,0,0,1,0,0,0
6.0,2017.0,40000,1,25.4,1186.0,73.97,5.0,0,1,0,0,1,0,0,0
6.55,2019.0,39000,1,18.6,1197.0,81.83,5.0,1,0,0,0,0,0,0,1
1.25,2007.0,56000,1,17.8,1086.0,63.0,5.0,1,0,0,0,0,0,0,1
4.25,2009.0,58000,0,14.53,1794.0,138.1,5.0,1,0,0,0,0,0,0,1
2.2,2017.0,40000,1,16.8,796.0,34.2,8.0,0,1,0,0,0,0,0,1
5.5,2018.0,34000,1,18.6,1197.0,81.83,5.0,0,1,0,0,0,0,0,1
11.5,2017.0,50000,1,15.4,1997.0,120.0,7.0,0,1,0,0,1,0,0,0
5.0,2012.0,77400,1,20.54,1598.0,103.6,5.0,0,1,0,0,1,0,0,0
9.9,2019.0,36000,1,17.3,1497.0,121.0,7.0,0,1,0,0,1,0,0,0
5.51,2013.0,47876,1,25.0,1493.0,113.42,5.0,1,0,0,0,1,0,0,0
16.5,2018.0,21500,0,15.1,2179.0,152.87,7.0,0,1,0,0,1,0,0,0
3.5,2015.0,75000,1,24.0,1120.0,70.0,5.0,1,0,0,0,1,0,0,0
5.0,2017.0,58000,1,18.16,1196.0,86.8,5.0,1,0,0,0,0,0,0,1
5.75,2018.0,30000,1,21.21,1197.0,81.8,5.0,0,1,0,0,0,0,0,1
5.45,2018.0,50000,1,24.0,1186.0,73.97,5.0,0,1,0,0,1,0,0,0
5.25,2017.0,19093,1,18.16,1196.0,86.8,5.0,0,0,1,0,0,0,0,1
4.0,2014.0,50000,1,18.0,1198.0,86.7,5.0,0,1,0,0,0,0,0,1
1.55,2006.0,37000,1,14.0,1061.0,64.0,5.0,1,0,0,0,0,0,0,1
5.4,2019.0,3888,1,23.5,909.0,45.0,8.0,0,1,0,0,1,0,0,0
5.45,2016.0,47000,1,26.59,1248.0,74.0,5.0,1,0,0,0,1,0,0,0
5.45,2013.0,70000,1,16.8,1497.0,116.3,5.0,0,1,0,0,0,0,0,1
2.4,2016.0,25000,1,25.17,799.0,53.3,5.0,0,1,0,0,0,0,0,1
7.25,2018.0,26000,1,24.3,1248.0,88.5,5.0,1,0,0,0,1,0,0,0
4.8,2017.0,30000,1,18.16,1196.0,86.8,5.0,0,1,0,0,0,0,0,1
3.75,2013.0,15000,1,18.5,1197.0,82.9,5.0,0,1,0,0,0,0,0,1
2.25,2011.0,160000,1,17.8,1248.0,75.0,5.0,0,1,0,0,1,0,0,0
4.0,2017.0,32100,1,23.84,1199.0,84.0,5.0,0,1,0,0,0,0,0,1
5.5,2016.0,22000,1,18.5,1197.0,82.9,5.0,1,0,0,0,0,0,0,1
10.5,2016.0,44000,1,15.4,2179.0,120.0,7.0,1,0,0,0,1,0,0,0
4.5,2016.0,78000,1,18.78,1198.0,74.0,5.0,1,0,0,0,0,0,0,1
7.75,2012.0,74352,0,11.74,1796.0,186.0,5.0,1,0,0,0,0,0,0,1
3.5,2014.0,37000,1,20.51,998.0,67.04,5.0,0,1,0,0,0,0,0,1
5.5,2014.0,69000,1,25.1,1498.0,98.6,5.0,1,0,0,0,1,0,0,0
10.8,2019.0,12120,1,16.8,1497.0,113.4,5.0,0,1,0,0,0,0,0,1
5.75,2016.0,52000,1,21.01,1197.0,81.8,5.0,1,0,0,0,0,0,0,1
9.5,2016.0,120000,1,12.99,2494.0,100.6,8.0,0,1,0,0,1,0,0,0
2.3,2013.0,55000,1,22.74,796.0,47.3,5.0,0,1,0,0,0,0,0,1
2.7,2011.0,160000,1,21.9,1396.0,90.0,5.0,0,1,0,0,1,0,0,0
1.65,2012.0,42000,1,25.44,936.0,56.3,5.0,1,0,0,0,1,0,0,0
1.3,2011.0,40000,1,15.6,1196.0,70.0,5.0,0,1,0,0,0,0,0,1
3.7,2012.0,46000,1,19.1,1197.0,85.8,5.0,1,0,0,0,0,0,0,1
5.7,2017.0,25000,1,21.4,1197.0,83.1,5.0,1,0,0,0,0,0,0,1
3.9,2015.0,240000,1,23.59,1364.0,67.05,5.0,0,1,0,0,1,0,0,0
3.65,2013.0,90000,1,22.07,1199.0,73.9,5.0,1,0,0,0,1,0,0,0
2.8,2012.0,49566,1,18.5,1197.0,82.85,5.0,1,0,0,0,0,0,0,1
12.5,2018.0,14000,0,22.0,1582.0,126.2,5.0,1,0,0,0,1,0,0,0
5.9,2016.0,11000,1,18.6,1197.0,81.83,5.0,1,0,0,0,0,0,0,1
4.75,2018.0,5000,0,23.1,998.0,67.04,5.0,0,1,0,0,0,0,0,1
6.85,2017.0,55000,1,23.0,1498.0,98.96,5.0,1,0,0,0,1,0,0,0
3.8,2012.0,65000,0,19.08,1582.0,126.32,5.0,1,0,0,0,1,0,0,0
3.3,2018.0,22000,1,23.01,999.0,67.0,5.0,0,1,0,0,0,0,0,1
6.5,2018.0,7671,1,21.01,1197.0,81.8,5.0,0,0,1,0,0,0,0,1
3.25,2016.0,66000,1,20.51,998.0,67.04,5.0,0,1,0,0,0,0,0,1
6.4,2018.0,45156,0,21.21,1197.0,81.8,5.0,1,0,0,0,0,0,0,1
9.49,2019.0,25000,1,18.27,998.0,118.35,5.0,0,1,0,0,0,0,0,1
7.5,2015.0,70000,1,20.45,1461.0,83.8,5.0,0,1,0,0,1,0,0,0
6.6,2015.0,120000,1,23.9,1582.0,126.2,5.0,0,1,0,0,1,0,0,0
4.35,2014.0,28000,1,16.1,1197.0,85.0,5.0,1,0,0,0,0,0,0,1
3.85,2013.0,55000,1,21.9,1396.0,88.76,5.0,1,0,0,0,1,0,0,0
10.0,2011.0,104000,1,14.66,2199.0,194.3,7.0,0,1,0,0,1,0,0,0
12.5,2019.0,14000,0,22.0,1582.0,126.2,5.0,1,0,0,0,1,0,0,0
5.5,2017.0,18000,1,20.14,1197.0,81.86,5.0,0,1,0,0,0,0,0,1
1.55,2009.0,98780,1,18.9,998.0,67.1,5.0,1,0,0,0,0,0,0,1
4.15,2015.0,58000,1,25.2,1248.0,74.0,5.0,1,0,0,0,1,0,0,0
2.51,2011.0,30000,1,20.92,998.0,67.1,5.0,0,1,0,0,0,0,0,1
11.5,2016.0,46400,1,15.4,2179.0,120.0,7.0,1,0,0,0,1,0,0,0
3.1,2014.0,32111,1,19.81,1086.0,68.05,5.0,0,0,1,0,0,0,0,1
3.5,2015.0,35000,1,19.44,1198.0,67.0,7.0,0,1,0,0,0,0,0,1
11.25,2017.0,30000,1,15.4,1997.0,120.0,7.0,1,0,0,0,1,0,0,0
26.0,2016.0,63000,0,18.59,2993.0,261.49,5.0,1,0,0,0,1,0,0,0
2.0,2017.0,43890,1,17.8,1199.0,76.8,5.0,0,1,0,0,0,0,0,1
4.8,2018.0,10000,1,20.62,1198.0,67.0,7.0,0,1,0,0,0,0,0,1
8.5,2017.0,25000,0,28.4,1248.0,74.02,5.0,0,1,0,0,1,0,0,0
11.0,2017.0,102000,0,17.01,1582.0,126.2,5.0,1,0,0,0,1,0,0,0
5.75,2018.0,35000,1,22.0,1197.0,81.8,5.0,1,0,0,0,0,0,0,1
1.6,2007.0,54000,1,0.0,999.0,5.0,5.0,0,1,0,0,0,0,0,1
3.4,2012.0,49948,1,17.5,1298.0,85.8,5.0,1,0,0,0,0,0,0,1
5.59,2018.0,114851,1,25.0,1396.0,69.01,5.0,0,1,0,0,1,0,0,0
9.25,2018.0,55000,1,23.0,1498.0,98.96,5.0,0,1,0,0,1,0,0,0
4.0,2015.0,36000,1,18.9,1197.0,82.0,5.0,1,0,0,0,0,0,0,1
5.6,2019.0,35000,1,25.4,1186.0,73.97,5.0,0,1,0,0,1,0,0,0
7.25,2016.0,49625,1,17.8,1497.0,117.3,5.0,1,0,0,0,0,0,0,1
6.0,2014.0,35000,1,23.4,1248.0,74.0,5.0,0,1,0,0,1,0,0,0
5.5,2013.0,95000,1,12.05,2179.0,120.0,8.0,0,1,0,0,1,0,0,0
5.85,2017.0,36000,1,25.83,1498.0,99.0,5.0,1,0,0,0,1,0,0,0
4.11,2019.0,50000,1,21.79,998.0,67.05,5.0,0,1,0,0,0,0,0,1
4.5,2015.0,26500,1,20.85,1197.0,83.14,5.0,0,1,0,0,0,0,0,1
12.9,2015.0,80000,0,13.7,1997.0,153.86,5.0,1,0,0,0,0,0,0,1
